Country,gdp,military,literacy,birth,death
Afghanistan,82595000000,3.3,37.3,34.2,11.8
Albania,50098000000,2,98.4,12.3,7.4
Algeria,6.99818E+11,9,81.4,20.2,4.4
American Samoa,6.669E+11,2.2560240963855422,86.55542169,15.7,6.3
Andorra,5226000000,2.2560240963855422,100,6.9,8.1
Angola,266249000000.00003,1.3,71.1,41.1,7.6
Antigua and Barbuda,2703000000,2.2560240963855422,99,14.9,5.7
Argentina,56361500000,0.8,99,15.2,7.3
Armenia,57516000000,5.3,99.8,10.5,9.6
Aruba,4350000000,2.2560240963855422,97.8,11.6,8.8
Australia,56361500000,2,86.55542169,12.2,6.8
Austria,5.93703E+11,1,86.55542169,9.3,9.9
Azerbaijan,2.15896E+11,4.5,99.8,11.2,6.4
"Bahamas, The",13224000000,0.8,86.55542169,13.1,5.6
Bahrain,90228000000,3.1,97.5,12.2,2.8
Bangladesh,56361500000,1,74.9,17.3,5.5
Barbados,5428000000,0.7,99.6,10.7,8.1
Belarus,2.54407E+11,1.5,99.9,8.3,13.3
Belgium,7.56586E+11,1.3,86.55542169,10.8,9.5
Belize,5120000000,0.9,86.55542169,17.7,5
Benin,52510000000,0.5,45.8,40.3,7.6
Bermuda,6343000000,2.2560240963855422,86.55542169,10.9,9.3
Bhutan,10981000000,2.2560240963855422,70.9,15.3,5.9
Bolivia,1.20531E+11,1.2,92.5,17.6,6.6
Bosnia and Herzegovina,64104000000,0.8,98.1,8.2,10.3
Botswana,46743000000,2.6,88.5,19.6,8.9
Brazil,56361500000,1.1,94.7,13.2,7
British Virgin Islands,56361500000,2.2560240963855422,86.55542169,10.9,5.5
Brunei,35260000000,3,97.6,15.8,3.9
Bulgaria,2.15338E+11,2.2,98.4,7.9,14.2
Burkina Faso,57152000000,4,46,31.9,7.3
Burma,2.90381E+11,3.9,89.1,15.7,7.3
Burundi,11347000000,3.7,74.7,34.6,5.7
Cabo Verde,4852000000,0.6,90.8,17.9,5.7
Cambodia,1.16576E+11,2.1,83.9,18.2,5.7
Cameroon,1.38191E+11,1,77.1,34.7,7.4
Canada,56361500000,1.4,86.55542169,10,8.2
Cayman Islands,5705000000,2.2560240963855422,98.9,11.5,6.1
Central African Republic,5849000000,1.8,37.5,31.9,11.3
Chad,32446000000,2.9,26.8,39.2,9
Chile,5.79201E+11,1.5,97,12.4,6.6
China,56361500000,1.5,96.8,10.2,7.7
Colombia,9.78007E+11,2.9,95.6,14.9,8
Comoros,2975000000,2.2560240963855422,62,21.6,6.4
"Congo, Democratic Republic of the",1.54012E+11,1.2,80,39.2,7.6
"Congo, Republic of the",38163000000,2,80.6,28.7,4.8
Cook Islands,56361500000,2.2560240963855422,86.55542169,12.1,9.4
Costa Rica,1.34238E+11,0.6,98,10.8,5.3
Croatia,1.58698E+11,1.8,99.4,8.5,13.1
Cuba,1.37E+11,4.2,99.7,9.9,9.5
Curacao,4271000000,2.2560240963855422,86.55542169,12.9,8.9
Cyprus,49526000000,1.8,99.4,10.2,7
Czechia,5.39737E+11,2.1,99,9.8,12
Denmark,4.28759E+11,2.4,86.55542169,11.3,9.6
Djibouti,7380000000,3.5,86.55542169,21.8,7
Dominica,1159000000,2.2560240963855422,86.55542169,13.3,8.1
Dominican Republic,2.61616E+11,0.6,95.5,17.3,7.1
Ecuador,260213000000.00003,2,93.9,17.7,7.2
Egypt,56361500000,1,73.1,19.5,4.3
El Salvador,71957000000,1.2,89.1,17.1,5.9
Equatorial Guinea,28985000000,1.6,95.3,29,8.9
Eritrea,9702000000,10,76.6,26.3,6.5
Estonia,58199000000,3.4,99.9,8.2,13.2
Eswatini,12468000000,1.6,88.4,22.3,9.4
Ethiopia,3.54604E+11,1,51.8,29.6,5.8
Falkland Islands (Islas Malvinas),56361500000,2.2560240963855422,86.55542169,10.9,4.9
Faroe Islands,3834000000,2.2560240963855422,86.55542169,14.9,8.6
Fiji,12617000000,1.1,99.1,15.9,6.5
Finland,3.18638E+11,2.4,86.55542169,10.2,10.4
France,56361500000,2.1,86.55542169,10.9,10
French Polynesia,5650000000,2.2560240963855422,86.55542169,13,5.8
Gabon,46472000000,1.3,85.5,25.7,5.5
"Gambia, The",7911000000,0.6,58.1,27.3,5.6
Gaza Strip,27446000000,2.2560240963855422,97.5,26.8,2.9
Georgia,83935000000,1.7,99.6,12,13.3
Germany,56361500000,2.1,86.55542169,8.9,12
Ghana,2.29639E+11,0.4,79,27.6,5.9
Gibraltar,2044000000,2.2560240963855422,86.55542169,13.7,8.7
Greece,3.84023E+11,3.1,97.9,7.4,12
Greenland,3857000000,2.2560240963855422,100,13.5,9.2
Grenada,1984000000,2.2560240963855422,98.6,13.3,8.4
Guam,5793000000,2.2560240963855422,86.55542169,18.1,6.1
Guatemala,2.24556E+11,0.4,83.3,21.4,4.9
Guernsey,3465000000,2.2560240963855422,86.55542169,9.7,9.2
Guinea,56892000000,2.2,45.3,35.3,7.8
Guinea-Bissau,5553000000,1.4,52.9,36,7.2
Guyana,40752000000,0.6,88.8,16.7,7
Haiti,34406000000,2.2560240963855422,61.7,21.2,7.3
Honduras,68854000000,1.5,88.5,19.9,5.4
Hong Kong,4.85834E+11,2.2560240963855422,86.55542169,7.6,8.1
Hungary,3.88906E+11,2.1,99.1,9.1,14.5
Iceland,26455000000,2.2560240963855422,86.55542169,12.6,6.6
India,56361500000,2.3,74.4,16.2,9.1
Indonesia,56361500000,0.8,96,14.8,6.8
Iran,56361500000,2.1,88.7,14.3,5.3
